,publishedAt,author,comment
116,2025-07-02T00:03:27Z,@muhammadmakhfudz709,Jokowi mana mau akui perintahnya untuk import gula maklum mental pemalsu ijazah
117,2025-07-01T23:57:27Z,@LodiLodi-j7n,SAPA YANG SALAH DI LAKNAT SAMA TUHAN..APA LAGI KLW DI SUMPAH BAWA2 NAMA TUHAN...
118,2025-07-01T23:50:16Z,@SugiyoSugiyo-v8f,"Bagus pak tom,saya tahu anda jujur hanya jokowi lah yg dzoliiiim"
119,2025-07-01T23:49:43Z,@EdiSusanto-q9f,Misalkan memang perintah Jokowi tapi perintahnya kan cuma impor bukan dikorupsi
120,2025-07-01T23:49:24Z,@IkeMemey,"JOKOWI TUKANG BOHONG, SEMOGA JOKOWI SEGERA DI PENJARA 🎉"
121,2025-07-01T23:40:26Z,@hajijalal9690,Jokowi licik dan pembohong
122,2025-07-01T23:34:40Z,@suwandisuwandi1552,Jokowi menyetujui tapi Tom Lembong mengkorupsi
123,2025-07-01T23:18:03Z,@dhodysutanto5646,"HAKIM UDAH NAIK GAJI HAMPIR 300% ,KITA LIAT AJA KERJA NYA ADA PERUBAHAN KAGAK"
124,2025-07-01T23:11:15Z,@DS_VO8-AL,"Aku gak mendengar bahwa presiden memerintahkan untuk korupsi dlm import gula
Yg aku dengar hanya PRESIDEN MEMERINTAHKAN atasan & atau bawahan mentri terkait utk menstabilkan harga pangan dilakukan import salah satunya gula

Tidak ada perintah Presiden untuk korupsi dalam pengadaan barang
Meski disitu rawan korupsi

JANGAN SALAH menilai nama yg disebut pasti ikut bersalah dlm hal ini

Pahamkan baik² lebih dulu baru kemudian menilai orang yg cuma disebut"
125,2025-07-01T23:10:52Z,@gobran2365,Kebijakan impor pasti ada hubungannya dengan presiden. tapi pasti seorang presiden tidak menyuruh untuk di korupsi.
126,2025-07-01T23:07:42Z,@462production,"Sepandai pandai orang menyembunyikan bangkai, pasti akan tercium baunya"
127,2025-07-01T23:00:32Z,@syukuralit2433,Ayo pak tom jangan sakit sendiri dari mana asal usul lolosnya import gula itu
128,2025-07-01T22:50:54Z,@hajjiandihamsiah2853,kan😂 haha
129,2025-07-01T22:44:35Z,@Putranusantarafc,Jokowi terus penyebabnya
